,pre_contrast_index,early_contrast_index,late_contrast_index
207837,0,2,5
208650,0,2,5
209967,0,2,6
213574,0,2,6
213913,0,2,5
217270,0,2,6
218503,0,2,6
219545,0,2,5
220213,0,2,6
220471,0,2,5
220925,0,2,6
221686,0,2,6
222135,0,2,6
227055,0,2,5
229047,0,2,5
233191,0,2,6
233673,0,2,5
234723,0,2,6
236990,0,2,5
237158,0,2,5
239910,0,2,5
240812,0,2,6
240957,0,2,6
241998,0,2,6
251172,0,2,6
253531,0,2,5
255388,0,2,5
258299,0,2,6
258713,0,2,6
263143,0,2,6
264305,0,2,6
266840,0,2,6
269899,0,2,5
272538,0,2,5
275034,0,2,5
275626,0,2,6
277831,0,2,5
277888,0,2,5
278666,0,2,5
279889,0,2,6
280375,0,2,6
283070,0,2,5
284443,0,2,6
284593,0,2,5
285339,0,2,6
285603,0,2,6
287358,0,2,5
287961,0,2,5
289420,0,2,6
292294,0,2,6
292425,0,2,5
293142,0,2,5
294739,0,2,5
296123,0,2,5
296399,0,2,6
296841,0,2,6
298101,0,2,5
299962,0,2,5
301665,0,2,6
306401,0,2,6
316534,0,2,6
317402,0,2,5
317641,0,2,6
320538,0,2,6
323721,0,2,6
326433,0,2,5
328160,0,2,6
329076,0,2,6
335536,0,2,6
342959,0,2,6
343898,0,2,6
345907,0,2,6
346274,0,2,6
352373,0,2,6
355942,0,2,5
356431,0,2,6
359408,0,2,6
360592,0,2,5
361701,0,2,6
362150,0,2,6
373346,0,2,6
375954,0,2,6
376676,0,2,5
376812,0,2,5
378885,0,2,5
383456,0,2,6
384705,0,2,6
384830,0,2,6
390219,0,2,6
396723,0,2,6
397505,0,2,5
398311,0,2,5
399478,0,2,6
401215,0,2,6
403781,0,2,6
407539,0,2,5
407875,0,2,5
408692,0,2,6
409288,0,2,6
412296,0,2,6
412772,0,2,6
413211,0,2,6
414844,0,2,5
415631,0,2,6
417474,0,2,6
421551,0,2,6
421917,0,2,6
422013,0,2,6
429220,0,2,6
430441,0,2,5
432114,0,2,5
435279,0,2,5
453236,0,2,6
458274,0,2,5
460642,0,2,5
461915,0,2,6
462209,0,2,6
462582,0,2,6
465008,0,2,6
467100,0,2,5
467686,0,2,6
474874,0,2,5
475650,0,2,6
480939,0,2,6
485842,0,2,6
486078,0,2,6
486430,0,2,5
490023,0,2,6
490805,0,2,5
491887,0,2,5
506623,0,2,5
511851,0,2,5
516763,0,2,5
516834,0,2,6
517102,0,2,5
518627,0,2,5
520471,0,2,5
522140,0,2,5
524170,0,2,6
526086,0,2,5
530095,0,2,6
531988,0,2,6
535943,0,2,6
542370,0,2,6
547892,0,2,6
552717,0,2,6
553434,0,2,6
563681,0,2,5
564701,0,2,5
571995,0,2,6
573605,0,2,6
573919,0,2,5
577104,0,2,6
579123,0,2,6
579572,0,2,6
580541,0,2,6
580632,0,2,6
584258,0,2,6
584437,0,2,5
584561,0,2,6
587604,0,2,6
587691,0,2,6
591810,0,2,6
593388,0,2,6
595189,0,2,6
597907,0,2,6
598835,0,2,5
601300,0,2,5
602356,0,2,6
607843,0,2,6
609151,0,2,6
611478,0,2,6
