,Univariate treatment,Univariate treatment,Univariate control,Univariate control,Multivariate interaction,Multivariate interaction,Multivariate interaction adjusted,Multivariate interaction adjusted
,p-value,p-value corrected,p-value,p-value corrected,p-value,p-value corrected,p-value,p-value corrected
log_sigma_3_mm_3D_firstorder_RootMeanSquared_32_binCount,0.7847457317735154,0.8798664265339414,0.39117081412506993,0.9872638152909196,0.47256855410455256,0.672501403918017,0.5465897362402681,0.6973731117548247
log_sigma_3_mm_3D_firstorder_Skewness_32_binCount,0.6825449226970143,0.7891925668684228,0.757200858090315,0.9872638152909196,0.8863781156234428,0.978984784419922,0.9124555258670204,0.9645958416308501
log_sigma_3_mm_3D_firstorder_TotalEnergy_32_binCount,0.4107776722605372,0.5379510923346333,0.22533338294890518,0.9872638152909196,0.9594261895919822,0.9975321237249359,0.9504270912478028,0.970473816000209
log_sigma_3_mm_3D_firstorder_Uniformity_32_binCount,0.003982788080570206,0.029472631796219523,0.3646333566538299,0.9872638152909196,0.0006147721799112184,0.009098628262686032,0.00019244097410971349,0.0030717447816121244
log_sigma_3_mm_3D_firstorder_Variance_32_binCount,0.6605707719046559,0.7812979073955295,0.8671911891068889,0.9872638152909196,0.8046217180380152,0.9487362644397392,0.7815867880934018,0.9037097237329957
log_sigma_3_mm_3D_glcm_DifferenceAverage_32_binCount,0.007850317139600875,0.044686420640804976,0.658558434716813,0.9872638152909196,0.03679648514731036,0.17427428706803016,0.02721246296410106,0.13424815062289855
log_sigma_3_mm_3D_glcm_DifferenceEntropy_32_binCount,0.005547210882506409,0.037317600482315846,0.9190044847614505,0.9919230763390461,0.012632040978690943,0.09347710324231298,0.00895380074381443,0.06625812550422677
log_sigma_3_mm_3D_glcm_DifferenceVariance_32_binCount,0.011045385444560308,0.048079913111615455,0.4473255747668775,0.9872638152909196,0.05740497465892319,0.21239840623801579,0.039374966313596535,0.15154567030368768
log_sigma_3_mm_3D_glcm_Id_32_binCount,0.009848735946382324,0.04566204522350944,0.9823280728036956,0.9919230763390461,0.022726442766989242,0.1401463970631003,0.014418323252186808,0.08891299338848531
log_sigma_3_mm_3D_glcm_Idm_32_binCount,0.00946207232430956,0.04566204522350944,0.9919230763390461,0.9919230763390461,0.021457891089721952,0.1401463970631003,0.0134360540162232,0.08891299338848531
log_sigma_3_mm_3D_glcm_Idmn_32_binCount,0.01188245058458186,0.0488500746255032,0.3807977598023321,0.9872638152909196,0.06280031016718886,0.22129633106533217,0.04700636556775623,0.15772698887414838
log_sigma_3_mm_3D_glcm_Idn_32_binCount,0.007574045771691139,0.044686420640804976,0.7164390122523066,0.9872638152909196,0.03319043225865213,0.17427428706803016,0.02439856100253236,0.12896382244195675
log_sigma_3_mm_3D_glcm_InverseVariance_32_binCount,0.00987287464292096,0.04566204522350944,0.8226297018299752,0.9872638152909196,0.04081669225246105,0.17427428706803016,0.04902325329872179,0.15772698887414838
log_sigma_3_mm_3D_glcm_JointEntropy_32_binCount,0.0015514936167292184,0.024620388691857446,0.23315161683091332,0.9872638152909196,0.00025455675048903503,0.009098628262686032,0.00010399095571888908,0.0030717447816121244
log_sigma_3_mm_3D_glcm_SumEntropy_32_binCount,0.0006813523878175938,0.024620388691857446,0.14331983676632132,0.9872638152909196,4.9430325140600844e-05,0.003657844060404462,1.570024992243397e-05,0.0011618184942601137
log_sigma_3_mm_3D_glcm_SumSquares_32_binCount,0.0017512239254850225,0.024620388691857446,0.5554162941356859,0.9872638152909196,0.002619124960424787,0.02768789243877632,0.0013850812046857332,0.017082668191124042
log_sigma_3_mm_3D_glrlm_GrayLevelNonUniformityNormalized_32_binCount,0.0023289556870675966,0.024620388691857446,0.37203229856327724,0.9872638152909196,0.0005050108950661404,0.009098628262686032,0.0001530214990272179,0.0030717447816121244
log_sigma_3_mm_3D_glrlm_GrayLevelVariance_32_binCount,0.0031834077827317627,0.02678286215804205,0.6840192492582304,0.9872638152909196,0.006922835011588612,0.05692108787306192,0.0035455417058999714,0.02915223180406643
log_sigma_3_mm_3D_glrlm_RunLengthNonUniformity_32_binCount,0.14353201544988503,0.29275629309181744,0.16049606346738862,0.9872638152909196,0.4512814931948943,0.6578837656081236,0.33971236027070956,0.5713344240916478
log_sigma_3_mm_3D_glrlm_RunLengthNonUniformityNormalized_32_binCount,0.017531419593595634,0.068280265785583,0.7967920486918771,0.9872638152909196,0.042391042800331666,0.17427428706803016,0.03570726276264876,0.15154567030368768
log_sigma_3_mm_3D_glrlm_RunPercentage_32_binCount,0.02119948008063124,0.07470292980793866,0.8148418679628882,0.9872638152909196,0.04475592988049201,0.17431256900823205,0.037981180220687714,0.15154567030368768
log_sigma_3_mm_3D_glrlm_RunVariance_32_binCount,0.03420768429104315,0.10547369323071637,0.7972616975696786,0.9872638152909196,0.041151623015945875,0.17427428706803016,0.033511411847014276,0.15154567030368768
log_sigma_3_mm_3D_glszm_GrayLevelNonUniformity_32_binCount,0.1424898174840991,0.29275629309181744,0.34385744907044336,0.9872638152909196,0.44635393096963827,0.6578837656081236,0.27986146492302155,0.565404697685932
log_sigma_3_mm_3D_glszm_GrayLevelNonUniformityNormalized_32_binCount,0.0012230979397785495,0.024620388691857446,0.8544019147828227,0.9872638152909196,0.0024542897866822034,0.02768789243877632,0.0018670604966255799,0.019737496678613273
log_sigma_3_mm_3D_glszm_GrayLevelVariance_32_binCount,0.002325997127554495,0.024620388691857446,0.7035657819729331,0.9872638152909196,0.025756296426580113,0.1466127642743791,0.022484961518831306,0.1279913194148859
log_sigma_3_mm_3D_glszm_ZonePercentage_32_binCount,0.0863140880824867,0.2129080839368005,0.3840485430119407,0.9872638152909196,0.3430895605548618,0.6578837656081236,0.4329075288523545,0.6304370294998853
log_sigma_3_mm_3D_gldm_DependenceNonUniformity_32_binCount,0.1814337142469355,0.3356523713568306,0.16137317024202474,0.9872638152909196,0.5366591094378963,0.6962611409823443,0.4215724602501715,0.6304370294998853
log_sigma_3_mm_3D_gldm_DependenceNonUniformityNormalized_32_binCount,0.024797567560942712,0.08340999997771639,0.5882434557250231,0.9872638152909196,0.10220752116300423,0.3437889348210142,0.11639936042584091,0.33129048736585487
log_sigma_3_mm_3D_gldm_GrayLevelVariance_32_binCount,0.0032573751273294385,0.02678286215804205,0.656476816285906,0.9872638152909196,0.006489213974910713,0.05692108787306192,0.003324192167355431,0.02915223180406643
log_sigma_3_mm_3D_gldm_SmallDependenceEmphasis_32_binCount,0.06365474978647462,0.16823041014996862,0.4341944708774722,0.9872638152909196,0.25974225140461826,0.6578837656081236,0.2959909729916447,0.565404697685932
log_sigma_3_mm_3D_ngtdm_Busyness_32_binCount,0.10790686264082291,0.25224166544256854,0.18042674808758596,0.9872638152909196,0.3287993481732512,0.6578837656081236,0.25179778279666015,0.5646374523319045
