,Perturbation,Interphase,Interobserver
wavelet_LHL_glcm_ClusterShade,0.433357305,0.5901059800149714,0.4062936316024077
wavelet_LHL_glcm_ClusterTendency,0.848708933,0.8935307164382841,0.7117496139283409
wavelet_LHL_glcm_Contrast,0.845443633,0.9033682712197542,0.6492672954195775
wavelet_LHL_glcm_Correlation,0.845177459,0.8323557864178125,0.9064606779297688
wavelet_LHL_glcm_DifferenceAverage,0.887080664,0.9197606427146456,0.799242312671276
wavelet_LHL_glcm_DifferenceEntropy,0.88726321,0.921217718516162,0.862521663637533
wavelet_LHL_glcm_DifferenceVariance,0.830586393,0.8964452864343566,0.7342110756488797
wavelet_LHL_glcm_Id,0.907931249,0.9233262614345448,0.8543089389522759
wavelet_LHL_glcm_Idm,0.909100239,0.923196955637484,0.8568987961229669
wavelet_LHL_glcm_Idmn,0.856805123,0.906798914806778,0.6885554155620354
wavelet_LHL_glcm_Idn,0.892961363,0.921602328543292,0.8205342711368961
wavelet_LHL_glcm_Imc1,0.950424301,0.919843491683575,0.3707315857017842
wavelet_LHL_glcm_Imc2,0.954089853,0.947978089944818,0.8390510036572377
wavelet_LHL_glcm_InverseVariance,0.884829523,0.9200165576712728,0.8407647724568887
wavelet_LHL_glcm_JointAverage,0.374202185,0.6127386650028585,0.602753905679308
wavelet_LHL_glcm_JointEnergy,0.867272554,0.8909504140454597,0.8014761726678635
wavelet_LHL_glcm_JointEntropy,0.886719838,0.9132608832588046,0.8448913655448693
wavelet_LHL_glcm_MCC,0.604911942,0.7711152933990612,0.5059083257351401
wavelet_LHL_glcm_MaximumProbability,0.86443738,0.885685998225244,0.7642539571883357
wavelet_LHL_glcm_SumAverage,0.374202185,0.6127386650028585,0.6027539056793082
wavelet_LHL_glcm_SumEntropy,0.888134043,0.9117451834084062,0.842433289263027
wavelet_LHL_glcm_SumSquares,0.853146906,0.8984463106984121,0.6887101739644459
wavelet_LHL_glrlm_GrayLevelNonUniformity,0.994414918,0.992975786634816,0.520534639099343
wavelet_LHL_glrlm_GrayLevelNonUniformityNormalized,0.898142515,0.9130313788728036,0.8364507721738292
wavelet_LHL_glrlm_GrayLevelVariance,0.865653182,0.9043042579752906,0.6937607283042145
wavelet_LHL_glrlm_HighGrayLevelRunEmphasis,0.353899914,0.6030828496941042,0.5855952749776143
wavelet_LHL_glrlm_LongRunEmphasis,0.865267751,0.9043509943178356,0.7791067661321978
wavelet_LHL_glrlm_LongRunHighGrayLevelEmphasis,0.675475641,0.8254851861317426,0.751623702994228
wavelet_LHL_glrlm_LongRunLowGrayLevelEmphasis,0.531974798,0.5838320111653973,0.1375350998511763
wavelet_LHL_glrlm_LowGrayLevelRunEmphasis,0.625075775,0.6884947102799751,0.1519594209517906
wavelet_LHL_glrlm_RunEntropy,0.8881323,0.91160040156177,0.769954515030825
wavelet_LHL_glrlm_RunLengthNonUniformity,0.996273622,0.9944041029418982,0.8259669341169457
wavelet_LHL_glrlm_RunLengthNonUniformityNormalized,0.924829105,0.9303467800147304,0.7914639157485538
wavelet_LHL_glrlm_RunPercentage,0.921590297,0.925711155595641,0.8021733220572287
wavelet_LHL_glrlm_RunVariance,0.831894079,0.89205964889894,0.7736690914138058
wavelet_LHL_glrlm_ShortRunEmphasis,0.91916564,0.9265718739640844,0.7814737769177872
wavelet_LHL_glrlm_ShortRunHighGrayLevelEmphasis,0.358037993,0.5586943322022875,0.5291081444720861
wavelet_LHL_glrlm_ShortRunLowGrayLevelEmphasis,0.654995569,0.7216929477751229,0.1726395383425998
wavelet_LHL_glszm_GrayLevelNonUniformity,0.99623582,0.9909123829882736,0.9092795533353394
wavelet_LHL_glszm_GrayLevelNonUniformityNormalized,0.872534078,0.917208866163048,0.8017614687834117
wavelet_LHL_glszm_GrayLevelVariance,0.874164461,0.910705707284472,0.6741537331243918
wavelet_LHL_glszm_HighGrayLevelZoneEmphasis,0.327246763,0.5934943930292823,0.5745588992112957
wavelet_LHL_glszm_LargeAreaEmphasis,0.930189189,0.9075464432235508,0.0588726388540343
wavelet_LHL_glszm_LargeAreaHighGrayLevelEmphasis,0.906286321,0.8960417439298349,0.0525203016326899
wavelet_LHL_glszm_LargeAreaLowGrayLevelEmphasis,0.869054684,0.9027483933467194,0.0685260094481376
wavelet_LHL_glszm_LowGrayLevelZoneEmphasis,0.644640715,0.6975963328251893,0.4141398385910407
wavelet_LHL_glszm_SizeZoneNonUniformity,0.97381402,0.9430638254375536,0.8464378813858765
wavelet_LHL_glszm_SizeZoneNonUniformityNormalized,0.900570442,0.8855600390176143,0.5889044183254869
wavelet_LHL_glszm_SmallAreaEmphasis,0.897562732,0.8834001612395315,0.5882757389480456
wavelet_LHL_glszm_SmallAreaHighGrayLevelEmphasis,0.429072874,0.561035239120744,0.4240334627908273
wavelet_LHL_glszm_SmallAreaLowGrayLevelEmphasis,0.653230717,0.7189636468949379,0.561598180979933
wavelet_LHL_glszm_ZoneEntropy,0.938148269,0.8581189846012809,0.3266668916631604
wavelet_LHL_glszm_ZonePercentage,0.92956921,0.9422112285844136,0.7609774764819867
